Date,Close,Date,Volume
2023-02-14,4145.5,2023-02-14,2379034
2023-02-15,4158.25,2023-02-15,1611550
2023-02-16,4099.75,2023-02-16,2042993
2023-02-17,4087.5,2023-02-17,2008448
2023-02-21,4005.75,2023-02-21,1883040
2023-02-22,3999.0,2023-02-22,1925300
2023-02-23,4018.75,2023-02-23,1955820
2023-02-24,3975.75,2023-02-24,2063242
2023-02-27,3988.0,2023-02-27,1621961
2023-02-28,3975.5,2023-02-28,1847930
2023-03-01,3956.5,2023-03-01,2042321
2023-03-02,3984.75,2023-03-02,1836555
2023-03-03,4049.75,2023-03-03,1665102
2023-03-06,4052.5,2023-03-06,1528845
2023-03-07,3989.75,2023-03-07,2141615
2023-03-08,3995.0,2023-03-08,1831712
2023-03-09,3920.0,2023-03-09,2547423
2023-03-10,3862.75,2023-03-10,3285811
2023-03-13,3856.75,2023-03-13,2750477
2023-03-14,3920.5,2023-03-14,1606509
2023-03-15,3892.75,2023-03-15,833643
2023-03-16,3960.5,2023-03-16,466914
2023-03-17,3957.050048828125,2023-03-17,2224268
2023-03-20,3983.0,2023-03-20,1818807
2023-03-21,4035.75,2023-03-21,1531670
2023-03-22,3970.5,2023-03-22,1802929
2023-03-23,3978.0,2023-03-23,2236954
2023-03-24,4001.25,2023-03-24,1944981
2023-03-27,4007.25,2023-03-27,1304572
2023-03-28,4001.5,2023-03-28,1224495
2023-03-29,4057.5,2023-03-29,1389352
2023-03-30,4080.0,2023-03-30,1328529
2023-03-31,4137.75,2023-03-31,1695840
2023-04-03,4153.75,2023-04-03,1380286
2023-04-04,4129.0,2023-04-04,1582414
2023-04-05,4117.25,2023-04-05,1470176
2023-04-06,4132.0,2023-04-06,73009
2023-04-10,4136.25,2023-04-10,1167715
2023-04-11,4136.5,2023-04-11,1221824
2023-04-12,4119.0,2023-04-12,1853671
2023-04-13,4172.75,2023-04-13,1458785
2023-04-14,4163.75,2023-04-14,1882896
2023-04-17,4176.75,2023-04-17,1298123
2023-04-18,4180.0,2023-04-18,1427797
2023-04-19,4178.5,2023-04-19,1292622
2023-04-20,4152.5,2023-04-20,1768379
2023-04-21,4156.75,2023-04-21,1645161
2023-04-24,4159.5,2023-04-24,1328041
2023-04-25,4093.25,2023-04-25,1770908
2023-04-26,4076.0,2023-04-26,1814741
2023-04-27,4153.75,2023-04-27,1686692
2023-04-28,4188.5,2023-04-28,1753803
2023-05-01,4185.75,2023-05-01,1240490
2023-05-02,4136.75,2023-05-02,2034176
2023-05-03,4107.5,2023-05-03,1658392
2023-05-04,4075.75,2023-05-04,1994772
2023-05-05,4150.25,2023-05-05,1545895
2023-05-08,4152.75,2023-05-08,1026014
2023-05-09,4134.0,2023-05-09,1000924
2023-05-10,4152.0,2023-05-10,1887587
2023-05-11,4143.75,2023-05-11,1473383
2023-05-12,4138.0,2023-05-12,1434601
2023-05-15,4150.0,2023-05-15,1179165
2023-05-16,4123.0,2023-05-16,1316691
2023-05-17,4171.5,2023-05-17,1584910
2023-05-18,4212.0,2023-05-18,1760668
2023-05-19,4204.75,2023-05-19,1713351
2023-05-22,4205.0,2023-05-22,1302845
2023-05-23,4158.75,2023-05-23,1685056
2023-05-24,4126.0,2023-05-24,1911903
